id,rut_unidad,nombre_unidad,calle_unidad,numero_unidad,comuna_unidad,region_unidad,CodigoExterno,codunspsc,nomunspsc
1,61.979.020-0,Región de Arica y Parinacota,Rafael Sotomayor Nº798,C.P ARICA MATERIALES DE CONST. PARA ALTA SEGURIDAD,Arica,Región de Arica y Parinacota,5702-47-LE22,11101700,"Productos derivados de minerales, plantas y animales / Minerales y metales / Metales base"
2,61.979.020-0,Región de Arica y Parinacota,Rafael Sotomayor Nº798,C.P ARICA MATERIALES DE CONST. PARA ALTA SEGURIDAD,Arica,Región de Arica y Parinacota,5702-47-LE22,11101700,"Productos derivados de minerales, plantas y animales / Minerales y metales / Metales base"
3,69.210.301-7,Educación,Vicuña Mackenna N°277,Artículos de protección personal para Esc. Rio Negro.,Río Negro,Región de los Lagos ,602-70-L122,12191600,Productos químicos industriales / Solventes / Solventes oxigenados
4,61.202.000-0,Dirección de Vialidad - X Región - Dirección Regional,"Av. Bdo OHiggins 451, 4º Piso",EQUIPO MOVILES VHF ,Puerto Montt,Región de los Lagos ,1002-43-LE22,43221700,"Tecnologías de la información, telecomunicaciones y radiodifusión / Equipos, plataformas y accesorios de redes multimedia, voz y datos / Equipo fijo de red y componentes"
5,60.301.001-9,Corp. Adm. del Poder Judicial - Temuco,CAUPOLICAN 1077,UNIFICACION DE EMPALMES EDIFICIOS PODER JUDICIAL,Temuco,Región de la Araucanía ,2179-30-LP22,72102200,"Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Servicios eléctricos"
8,69.150.200-7,Depto. De Salud,MANUEL ANTONIO MATTA N° 501,Compra de medicamentos para Farmacia Comunitaria Amandina Pino.,Coelemu,Región del Ñuble,3786-17-L122,85121900,"Salud, servicios sanitarios y alimentación / Medicina y servicios de salud / Farmacéuticos"
9,61.101.010-9,Cuartel General V División de Ejército - CGVDE,"Morandé 59, piso 2","AMPLIACION PROYECTO HABILITACIÓN, PUESTO DE MANDO CTEL.. GRAL. FASE 1 CONSTRUCCIÓN",Santiago,Región Metropolitana de Santiago,3366-11-L122,31211500,"Artículos de fabricación y producción / Pinturas, diluyentes y accesorios para pintado / Pinturas"
10,61.202.000-0,Dirección de Vialidad - IX Región - Dirección Regional,"Manuel Bulnes Nº 897, Piso 4º, Oficina Nº 404",SERV. ARRIENDO DE MAQUINARIA PESADA PARA TRASLADO,Temuco,Región de la Araucanía ,1001-18-LQ22,24101500,"Equipamiento para manejo y estiba de materiales / Maquinaria para manejo de materiales / Camiones, carros y carretillas industriales"
11,61.202.000-0,Dirección de Vialidad - IX Región - Dirección Regional,"Manuel Bulnes Nº 897, Piso 4º, Oficina Nº 404",SERVICIO DE MANT. EQUIPO DISTRIBUIDOR DE ASFALTO,Temuco,Región de la Araucanía ,1001-21-LE22,78180100,"Servicios de transporte, almacenaje y correo / Servicios de mantención o reparaciones de transportes / Mantención o reparación de vehículos"
12,69.150.700-9,Ilustre Municipalidad De Florida,Arturo Prat 675 - Florida- 8° Region,PERSONAL PARA VIALIDAD COMUNAL,Florida,Región del Biobío ,3567-27-LE22,80111600,"Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Servicios de personal temporal"
